kinase	kinase_group	foreground_set_hits	foreground_set_size	background_set_hits	background_set_size	enrichment_value	enrichment_value_log2	p_value	adjusted_p_value	p_value_log10_abs	adjusted_p_value_log10_abs
ERK7	CMGC	2	29	281	6188	1.5187139526322249	0.6028501661005375	0.3831172607588823	1.0000000000188458	0.41666828110627896	8.184632939547247e-12
PKN2	AGC	1	29	106	6188	2.013012361743656	1.0093560317582642	0.3962575231227041	1.0000000000188458	0.4020224794248879	8.184632939547247e-12
GRK6	AGC	3	29	490	6188	1.3064039408866996	0.3856010480400493	0.4072296726148169	1.0000000000188458	0.3901605848378571	8.184632939547247e-12
CDK1	CMGC	2	29	311	6188	1.3722142144361902	0.45650571619086094	0.43305988002720697	1.0000000000188458	0.3634520487565897	8.184632939547247e-12
MTOR	PIKK	2	29	314	6188	1.3591038875466726	0.4426557374298366	0.4379495229829367	1.0000000000188458	0.3585759423572186	8.184632939547247e-12
NLK	CMGC	2	29	314	6188	1.3591038875466726	0.4426557374298366	0.4379495229829367	1.0000000000188458	0.3585759423572186	8.184632939547247e-12
CDK5	CMGC	2	29	321	6188	1.3294661080674615	0.4108469991991603	0.44927740803176086	1.0000000000188458	0.3474854194079213	8.184632939547247e-12
CLK3	CMGC	2	29	328	6188	1.301093355761144	0.37972448170338	0.46048772766090595	1.0000000000188458	0.33678193958259295	8.184632939547247e-12
NEK9	Other	2	29	334	6188	1.2777204212265123	0.3535721938474111	0.46999971546446595	1.0000000000188458	0.32790240498396284	8.184632939547247e-12
PKACG	AGC	1	29	136	6188	1.5689655172413792	0.649813645071124	0.4767399285779721	1.0000000000188458	0.3217184729211023	8.184632939547247e-12
PHKG1	CAMK	1	29	137	6188	1.5575132141958217	0.6392444033609367	0.4792357414164278	1.0000000000188458	0.3194507997149704	8.184632939547247e-12
CDK17	CMGC	2	29	340	6188	1.2551724137931035	0.32788555018376186	0.4794196494395696	1.0000000000188458	0.3192841699930289	8.184632939547247e-12
PHKG2	CAMK	1	29	140	6188	1.5241379310344827	0.607993469376497	0.48665440938919136	1.0000000000188458	0.31277933729483126	8.184632939547247e-12
KHS2	STE	1	29	144	6188	1.4818007662835249	0.5673514848791512	0.49638739437519536	1.0000000000188458	0.3041792558252123	8.184632939547247e-12
CDK16	CMGC	2	29	352	6188	1.2123824451410659	0.27784486768416633	0.4979743274071902	1.0000000000188458	0.30279304630210685	8.184632939547247e-12
CDK18	CMGC	2	29	353	6188	1.2089479339650289	0.2737521130502833	0.49950299293899564	1.0000000000188458	0.301461905209778	8.184632939547247e-12
CDK2	CMGC	2	29	356	6188	1.1987601704765596	0.26154305535506595	0.5040725008301209	1.0000000000188458	0.2975069944156315	8.184632939547247e-12
PRKD3	CAMK	1	29	148	6188	1.4417520969245108	0.5278231206925139	0.5059420894422959	1.0000000000188458	0.2958991900277078	8.184632939547247e-12
MPSK1	Other	2	29	362	6188	1.1788912173747381	0.23743059923825827	0.5131365903668952	1.0000000000188458	0.28976701588866466	8.184632939547247e-12
KHS1	STE	1	29	157	6188	1.3591038875466726	0.4426557374298366	0.5268045170997664	1.0000000000188458	0.27835050982435366	8.184632939547247e-12
JNK3	CMGC	2	29	372	6188	1.1472005932517613	0.19811767521343224	0.5280176280286717	1.0000000000188458	0.2773515781711448	8.184632939547247e-12
CDKL1	CMGC	1	29	159	6188	1.3420082411624377	0.42439353103710825	0.5313237301663482	1.0000000000188458	0.27464078704498934	8.184632939547247e-12
TAO3	STE	1	29	159	6188	1.3420082411624377	0.42439353103710825	0.5313237301663482	1.0000000000188458	0.27464078704498934	8.184632939547247e-12
PAK2	STE	1	29	161	6188	1.3253373313343328	0.4063596082068466	0.5358012574371005	1.0000000000188458	0.2709962715091588	8.184632939547247e-12
MARK4	CAMK	2	29	381	6188	1.1201013666395148	0.16362929882814137	0.5411645536705909	1.0000000000188458	0.26667065747244506	8.184632939547247e-12
IKKA	Other	2	29	385	6188	1.1084639498432602	0.14856185073919992	0.5469316709263808	1.0000000000188458	0.26206692740188675	8.184632939547247e-12
CAMK4	CAMK	1	29	167	6188	1.2777204212265123	0.3535721938474111	0.5489874175627939	1.0000000000188458	0.2604376091850051	8.184632939547247e-12
TAO1	STE	1	29	167	6188	1.2777204212265123	0.3535721938474111	0.5489874175627939	1.0000000000188458	0.2604376091850051	8.184632939547247e-12
ERK5	CMGC	2	29	390	6188	1.0942528735632184	0.12994617257185292	0.5540741554162102	1.0000000000188458	0.2564321068729356	8.184632939547247e-12
PAK5	STE	1	29	170	6188	1.2551724137931035	0.32788555018376186	0.555444138883666	1.0000000000188458	0.2553596116006311	8.184632939547247e-12
CK1G1	CK1	2	29	395	6188	1.0804015713662156	0.11156764325699826	0.5611423332848522	1.0000000000188458	0.25092696633753964	8.184632939547247e-12
DCAMKL2	CAMK	1	29	173	6188	1.233406418178194	0.3026482586847389	0.5618115686847357	1.0000000000188458	0.25040932215791073	8.184632939547247e-12
HPK1	STE	1	29	174	6188	1.2263178755449862	0.2943329904727353	0.5639144090780047	1.0000000000188458	0.24878680822576815	8.184632939547247e-12
IKKB	Other	2	29	400	6188	1.0668965517241378	0.09342029654673865	0.568135711217784	1.0000000000188458	0.24554791148425134	8.184632939547247e-12
PDHK1	PDHK	2	29	402	6188	1.0615886086807342	0.08622479514253491	0.5709120192994621	1.0000000000188458	0.2434308137799953	8.184632939547247e-12
DMPK1	AGC	1	29	178	6188	1.1987601704765596	0.26154305535506595	0.5722287548726632	1.0000000000188458	0.24243032239801757	8.184632939547247e-12
GCK	STE	1	29	181	6188	1.1788912173747381	0.23743059923825827	0.5783638567316323	1.0000000000188458	0.23779885491211625	8.184632939547247e-12
CHK1	CAMK	2	29	424	6188	1.006506180871828	0.009356031758264155	0.6006507089661771	1.0000000000188458	0.22137800597893695	8.184632939547247e-12
PRKD2	CAMK	1	29	193	6188	1.1055922815794175	0.14481944905338304	0.6020655753004673	1.0000000000188458	0.22035620402430214	8.184632939547247e-12
PINK1	Other	2	29	426	6188	1.0017807997409744	0.002566866095625118	0.6032809960486446	1.0000000000188458	0.2194803551762202	8.184632939547247e-12
CDKL5	CMGC	1	29	199	6188	1.072257840928782	0.10065186577781488	0.6134287715255821	1.0000000000188458	0.21223585824958965	8.184632939547247e-12
PDHK4	PDHK	2	29	434	6188	0.9833147942157953	-0.024274746123015858	0.613679482898019	1.0000000000188458	0.21205839620950923	8.184632939547247e-12
ICK	CMGC	1	29	200	6188	1.0668965517241378	0.09342029654673865	0.6152919202037378	1.0000000000188458	0.21091878787633178	8.184632939547247e-12
PKG2	AGC	1	29	200	6188	1.0668965517241378	0.09342029654673865	0.6152919202037378	1.0000000000188458	0.21091878787633178	8.184632939547247e-12
