kinase	kinase_group	foreground_set_hits	foreground_set_size	background_set_hits	background_set_size	enrichment_value	enrichment_value_log2	p_value	adjusted_p_value	p_value_log10_abs	adjusted_p_value_log10_abs
MNK2	CAMK	71	1982	90	4155	1.6538008745375044	0.7257855376462262	0.00099156925200169	0.005092296328076475	3.003676948920189	2.293086332060028
NDR1	AGC	51	1982	58	4155	1.8433574585058632	0.8823358613151423	0.0010261268430276705	0.0051819405572897355	2.988798951288447	2.285507573169786
SGK3	AGC	45	1982	49	4155	1.925235280792438	0.9450347666856852	0.0011036367465516199	0.0054819989213957514	2.95717384773715	2.2610610542456118
DLK	TKL	119	1982	176	4155	1.4174301669571598	0.503277659141865	0.0017545142497249764	0.00848153426049028	2.755843100203323	2.071525579276977
ROCK2	AGC	49	1982	57	4155	1.8021403154708162	0.8497113444216852	0.0017634873214880781	0.00848153426049028	2.7536276583257004	2.071525579276977
DCAMKL1	CAMK	61	1982	78	4155	1.6394667391135607	0.7132266331718567	0.002516001850622967	0.011777416652474119	2.599289043785176	1.9289499605347427
PIM2	CAMK	64	1982	83	4155	1.6164759947965424	0.6928520831242939	0.002526508522807979	0.011777416652474119	2.597479232394192	1.9289499605347427
AURB	Other	94	1982	135	4155	1.4596927906716002	0.5456647690980254	0.0028096000634720477	0.012898618473212583	2.5513554959627873	1.8894568030023509
caMLCK	CAMK	84	1982	118	4155	1.492329268501257	0.5775658878881377	0.00300943526088321	0.013609834090262877	2.52151499480259	1.866147169001111
CAMK2B	CAMK	194	1982	319	4155	1.274906762745588	0.35039174289347685	0.003304441191366518	0.014724201190941985	2.4809019727971147	1.831968257001046
NUAK1	CAMK	87	1982	124	4155	1.4708383516161585	0.5566386999330719	0.0034145150809841806	0.014936412574375784	2.466670964780765	1.8257536987882155
MNK1	CAMK	46	1982	55	4155	1.753325382992386	0.810093757003572	0.0034506563703178383	0.014936412574375784	2.4620982872762633	1.8257536987882155
ROCK1	AGC	40	1982	46	4155	1.8229280919580575	0.8662576533015683	0.003920553488287721	0.016731376154241966	2.406652616668159	1.7764683368849292
PKN1	AGC	51	1982	64	4155	1.6705426967709387	0.7403168564427146	0.004223877726158211	0.017775485430915804	2.374288662354779	1.7501785302837427
